================ Training Loss (Fri Sep 19 16:46:06 2025) ================
(epoch: 160, iters: 50, time: 0.037, data: 0.136) D_A: 0.732 G_A: 0.391 cycle_A: 4.083 idt_A: 1.673 D_B: 0.299 G_B: 0.285 cycle_B: 4.149 idt_B: 2.042 median_A: 2.866 median_B: 4.242 
(epoch: 162, iters: 50, time: 0.037, data: 0.133) D_A: 0.666 G_A: 0.022 cycle_A: 3.800 idt_A: 1.636 D_B: 0.321 G_B: 0.343 cycle_B: 3.994 idt_B: 1.851 median_A: 2.704 median_B: 4.121 
(epoch: 164, iters: 50, time: 0.037, data: 0.143) D_A: 0.191 G_A: 0.096 cycle_A: 3.065 idt_A: 1.618 D_B: 0.316 G_B: 0.240 cycle_B: 3.872 idt_B: 1.539 median_A: 2.587 median_B: 3.977 
(epoch: 166, iters: 50, time: 0.037, data: 0.158) D_A: 0.677 G_A: 0.003 cycle_A: 3.416 idt_A: 1.595 D_B: 0.361 G_B: 0.416 cycle_B: 3.863 idt_B: 1.740 median_A: 2.601 median_B: 3.983 
(epoch: 168, iters: 50, time: 0.036, data: 0.161) D_A: 1.085 G_A: 0.199 cycle_A: 3.250 idt_A: 1.580 D_B: 0.349 G_B: 0.419 cycle_B: 3.858 idt_B: 1.625 median_A: 2.562 median_B: 3.989 
(epoch: 170, iters: 50, time: 0.037, data: 0.150) D_A: 0.731 G_A: 0.047 cycle_A: 3.526 idt_A: 1.568 D_B: 0.404 G_B: 0.594 cycle_B: 3.872 idt_B: 1.818 median_A: 2.608 median_B: 4.002 
(epoch: 172, iters: 50, time: 0.037, data: 0.130) D_A: 1.119 G_A: 0.146 cycle_A: 2.645 idt_A: 1.564 D_B: 0.627 G_B: 0.014 cycle_B: 3.872 idt_B: 1.317 median_A: 2.748 median_B: 3.900 
(epoch: 174, iters: 50, time: 0.035, data: 0.129) D_A: 0.524 G_A: 0.001 cycle_A: 2.653 idt_A: 1.557 D_B: 0.390 G_B: 0.009 cycle_B: 3.877 idt_B: 1.292 median_A: 2.623 median_B: 3.924 
(epoch: 176, iters: 50, time: 0.037, data: 0.149) D_A: 0.706 G_A: 0.087 cycle_A: 3.376 idt_A: 1.534 D_B: 0.352 G_B: 0.122 cycle_B: 3.919 idt_B: 1.823 median_A: 2.565 median_B: 3.990 
(epoch: 178, iters: 50, time: 0.037, data: 0.130) D_A: 1.674 G_A: 0.005 cycle_A: 3.846 idt_A: 1.502 D_B: 0.396 G_B: 0.105 cycle_B: 3.954 idt_B: 2.037 median_A: 2.616 median_B: 4.051 
(epoch: 180, iters: 50, time: 0.037, data: 0.128) D_A: 0.929 G_A: 0.038 cycle_A: 3.713 idt_A: 1.489 D_B: 0.463 G_B: 0.017 cycle_B: 4.041 idt_B: 1.916 median_A: 2.563 median_B: 4.155 
(epoch: 182, iters: 50, time: 0.037, data: 0.131) D_A: 0.740 G_A: 0.094 cycle_A: 3.363 idt_A: 1.483 D_B: 0.596 G_B: 0.000 cycle_B: 4.013 idt_B: 1.621 median_A: 2.579 median_B: 4.161 
(epoch: 184, iters: 50, time: 0.037, data: 0.132) D_A: 0.529 G_A: 0.030 cycle_A: 3.122 idt_A: 1.481 D_B: 0.474 G_B: 0.003 cycle_B: 4.040 idt_B: 1.433 median_A: 2.642 median_B: 4.197 
(epoch: 186, iters: 50, time: 0.037, data: 0.153) D_A: 0.451 G_A: 0.171 cycle_A: 2.899 idt_A: 1.513 D_B: 0.340 G_B: 0.081 cycle_B: 4.104 idt_B: 1.333 median_A: 2.669 median_B: 4.223 
(epoch: 188, iters: 50, time: 0.037, data: 0.138) D_A: 0.517 G_A: 0.404 cycle_A: 2.892 idt_A: 1.475 D_B: 0.431 G_B: 0.010 cycle_B: 4.202 idt_B: 1.301 median_A: 2.667 median_B: 4.327 
(epoch: 190, iters: 50, time: 0.037, data: 0.131) D_A: 0.363 G_A: 0.586 cycle_A: 2.683 idt_A: 1.469 D_B: 0.319 G_B: 0.267 cycle_B: 4.052 idt_B: 1.266 median_A: 2.730 median_B: 4.055 
(epoch: 192, iters: 50, time: 0.037, data: 0.130) D_A: 0.730 G_A: 1.144 cycle_A: 2.696 idt_A: 1.497 D_B: 0.435 G_B: 0.000 cycle_B: 3.954 idt_B: 1.288 median_A: 2.745 median_B: 3.945 
(epoch: 194, iters: 50, time: 0.037, data: 0.133) D_A: 0.530 G_A: 0.613 cycle_A: 2.878 idt_A: 1.483 D_B: 0.325 G_B: 0.144 cycle_B: 4.054 idt_B: 1.356 median_A: 2.782 median_B: 4.026 
(epoch: 196, iters: 50, time: 0.037, data: 0.133) D_A: 0.398 G_A: 0.939 cycle_A: 3.542 idt_A: 1.480 D_B: 0.334 G_B: 0.100 cycle_B: 3.924 idt_B: 1.584 median_A: 2.843 median_B: 3.781 
(epoch: 198, iters: 50, time: 0.035, data: 0.135) D_A: 0.091 G_A: 0.404 cycle_A: 4.316 idt_A: 1.480 D_B: 0.346 G_B: 0.080 cycle_B: 4.110 idt_B: 1.760 median_A: 2.867 median_B: 3.970 
(epoch: 200, iters: 50, time: 0.037, data: 0.148) D_A: 0.080 G_A: 0.181 cycle_A: 4.129 idt_A: 1.465 D_B: 0.349 G_B: 0.062 cycle_B: 3.840 idt_B: 1.546 median_A: 2.658 median_B: 3.804 
(epoch: 202, iters: 50, time: 0.037, data: 0.145) D_A: 0.925 G_A: 1.337 cycle_A: 3.686 idt_A: 1.456 D_B: 0.343 G_B: 0.058 cycle_B: 3.700 idt_B: 1.445 median_A: 2.558 median_B: 3.691 
